"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"379",72.02,0.8,0.62,0.93,0.05,0.02,0.1
"380",72.2,0.8,0.62,0.93,0.05,0.02,0.1
"381",72.39,0.8,0.62,0.93,0.05,0.02,0.1
"382",72.57,0.8,0.62,0.93,0.05,0.02,0.1
"383",72.76,0.8,0.61,0.93,0.05,0.02,0.1
"384",72.94,0.8,0.61,0.93,0.05,0.02,0.1
"385",73.13,0.8,0.61,0.93,0.05,0.02,0.1
"386",73.31,0.8,0.61,0.93,0.05,0.02,0.1
"387",73.5,0.8,0.61,0.93,0.05,0.02,0.1
"388",73.68,0.8,0.61,0.93,0.05,0.02,0.1
"389",73.87,0.8,0.61,0.93,0.05,0.02,0.1
"390",74.06,0.8,0.61,0.93,0.05,0.02,0.1
"391",74.24,0.8,0.61,0.93,0.05,0.02,0.1
"392",74.43,0.8,0.61,0.93,0.05,0.02,0.1
"393",74.61,0.8,0.61,0.93,0.05,0.02,0.1
"394",74.8,0.8,0.61,0.93,0.05,0.02,0.1
"395",74.98,0.8,0.61,0.93,0.05,0.02,0.1
"396",75.17,0.8,0.61,0.93,0.05,0.02,0.1
"397",75.35,0.8,0.61,0.93,0.05,0.02,0.1
"398",75.54,0.8,0.61,0.93,0.05,0.02,0.1
"399",75.72,0.8,0.61,0.93,0.05,0.02,0.1
"400",75.91,0.8,0.61,0.93,0.05,0.02,0.1
"401",76.09,0.8,0.61,0.93,0.05,0.02,0.1
"402",76.28,0.8,0.61,0.93,0.05,0.02,0.1
"403",76.46,0.8,0.61,0.93,0.05,0.02,0.1
"404",76.65,0.8,0.61,0.93,0.05,0.02,0.1
"405",76.83,0.8,0.61,0.93,0.05,0.02,0.1
"406",77.02,0.8,0.61,0.93,0.05,0.02,0.1
"407",77.2,0.8,0.61,0.93,0.05,0.02,0.1
"408",77.39,0.8,0.61,0.93,0.05,0.02,0.1
"409",77.57,0.79,0.61,0.93,0.05,0.02,0.1
"410",77.76,0.79,0.61,0.93,0.05,0.02,0.1
"411",77.94,0.79,0.61,0.93,0.05,0.02,0.1
"412",78.13,0.79,0.61,0.93,0.05,0.02,0.1
"413",78.32,0.79,0.61,0.93,0.05,0.02,0.1
"414",78.5,0.79,0.61,0.93,0.05,0.02,0.1
"415",78.69,0.79,0.61,0.93,0.05,0.02,0.1
"416",78.87,0.79,0.61,0.93,0.05,0.01,0.1
"417",79.06,0.79,0.61,0.93,0.05,0.01,0.1
"418",79.24,0.79,0.61,0.93,0.05,0.01,0.1
"419",79.43,0.79,0.61,0.93,0.05,0.01,0.1
"420",79.61,0.79,0.61,0.93,0.05,0.01,0.1
"421",79.8,0.79,0.61,0.93,0.05,0.01,0.1
"422",79.98,0.79,0.61,0.93,0.05,0.01,0.1
"423",80.17,0.79,0.61,0.93,0.05,0.01,0.1
"424",80.35,0.79,0.61,0.92,0.05,0.01,0.1
"425",80.54,0.79,0.61,0.92,0.05,0.01,0.1
"426",80.72,0.79,0.61,0.92,0.05,0.01,0.1
"427",80.91,0.79,0.61,0.92,0.05,0.01,0.1
"428",81.09,0.79,0.61,0.92,0.05,0.01,0.1
"429",81.28,0.79,0.61,0.92,0.05,0.01,0.1
"430",81.46,0.79,0.61,0.92,0.05,0.01,0.1
"431",81.65,0.79,0.61,0.92,0.05,0.01,0.1
